old,new
d0078,0457
d0079,0458
d0080,0459
d0105,0460
d0106,0461
d0107,0462
d0108,0463
d0109,0464
d0110,0465
d0111,0466
d0112,0467
d0113,0468
d0114,0469
d0115,0470
d0116,0471
d0117,0472
d0118,0473
d0119,0474
d0147,0475
d0148,0476
d0149,0477
d0150,0478
d0151,0479
d0152,0480
d0153,0481
d0154,0482
d0155,0483
d0156,0484
d0157,0485
d0158,0486
d0159,0487
d0160,0488
d0161,0489
d0162,0490
d0181,0491
d0182,0492
d0183,0493
d0184,0494
d0185,0495
d0186,0496
d0187,0497
d0188,0498
d0189,0499
d0190,0500
d0192,0501
d0193,0502
d0194,0503
d0045,0504
d0046,0505
d0067,0506
d0081,0507
d0191,0508
c0001,0509
c0158,0510
c0159,0511
c0160,0512
c0161,0513
c0162,0514
c0163,0515
c0164,0516
c0165,0517
c0166,0518
c0167,0519
c0168,0520
c0169,0521
c0170,0522
c0171,0523
c0172,0524
c0173,0525
c0174,0526
c0175,0527
c0176,0528
c0177,0529
c0178,0530
c0179,0531
c0180,0532
c0181,0533
c0182,0534
c0183,0535
c0184,0536
c0185,0537
c0186,0538
c0187,0539
c0188,0540
c0189,0541
c0190,0542
c0191,0543
c0192,0544
c0193,0545
c0194,0546
c0195,0547
c0196,0548
c0197,0549
c0198,0550
c0199,0551
c0200,0552
c0201,0553
c0202,0554
c0203,0555
c0204,0556
c0205,0557
c0206,0558
c0207,0559
c0208,0560
c0209,0561
c0210,0562
c0211,0563
c0212,0564
c0213,0565
c0214,0566
c0215,0567
c0216,0568
c0217,0569
c0218,0570
c0219,0571
c0220,0572
c0221,0573
c0222,0574
c0223,0575
c0224,0576
c0225,0577
c0226,0578
c0002,0579
c0003,0580
c0004,0581
c0005,0582
c0006,0583
c0007,0584
c0008,0585
c0009,0586
c0010,0587
c0011,0588
c0012,0589
c0013,0590
c0014,0591
c0015,0592
c0016,0593
c0017,0594
c0018,0595
c0019,0596
c0020,0597
c0021,0598
c0022,0599
c0023,0600
c0024,0601
c0025,0602
c0026,0603
c0027,0604
c0028,0605
c0029,0606
c0030,0607
c0031,0608
c0032,0609
c0033,0610
c0034,0611
c0035,0612
c0036,0613
c0037,0614
c0038,0615
c0039,0616
c0040,0617
c0041,0618
c0042,0619
c0043,0620
c0044,0621
c0045,0622
c0046,0623
c0047,0624
c0048,0625
c0049,0626
c0050,0627
c0051,0628
c0052,0629
c0053,0630
c0054,0631
c0055,0632
c0056,0633
c0057,0634
c0058,0635
c0059,0636
c0060,0637
c0061,0638
c0062,0639
c0063,0640
c0064,0641
c0065,0642
c0227,0643
c0228,0644
c0229,0645
c0230,0646
c0231,0647
c0232,0648
c0233,0649
c0234,0650
c0235,0651
c0236,0652
c0237,0653
c0238,0654
c0239,0655
c0240,0656
c0241,0657
c0242,0658
c0243,0659
c0244,0660
c0245,0661
c0246,0662
c0247,0663
c0248,0664
c0249,0665
c0250,0666
c0251,0667
c0252,0668
c0253,0669
c0254,0670
c0255,0671
c0256,0672
c0066,0673
c0067,0674
c0068,0675
c0069,0676
c0070,0677
c0071,0678
c0072,0679
c0073,0680
c0074,0681
c0075,0682
c0076,0683
c0077,0684
c0078,0685
c0079,0686
c0080,0687
c0081,0688
c0082,0689
c0083,0690
c0084,0691
c0085,0692
c0086,0693
c0087,0694
c0088,0695
c0089,0696
c0090,0697
c0091,0698
c0092,0699
c0093,0700
c0094,0701
c0095,0702
c0096,0703
c0097,0704
c0098,0705
c0099,0706
c0100,0707
c0101,0708
c0102,0709
c0103,0710
c0104,0711
c0105,0712
c0106,0713
c0107,0714
c0108,0715
c0109,0716
c0110,0717
c0111,0718
c0112,0719
c0113,0720
c0114,0721
c0115,0722
c0116,0723
c0117,0724
c0118,0725
c0119,0726
c0120,0727
c0121,0728
c0122,0729
c0123,0730
c0124,0731
c0125,0732
c0126,0733
c0127,0734
c0128,0735
c0129,0736
c0130,0737
c0131,0738
c0132,0739
c0133,0740
c0134,0741
c0135,0742
c0136,0743
c0137,0744
c0138,0745
c0139,0746
c0140,0747
c0141,0748
c0142,0749
c0143,0750
c0144,0751
c0145,0752
c0146,0753
c0147,0754
c0148,0755
c0149,0756
b0001,0757
b0002,0758
b0003,0759
b0004,0760
b0005,0761
b0006,0762
b0007,0763
b0008,0764
b0009,0765
b0010,0766
b0011,0767
b0012,0768
b0013,0769
b0014,0770
b0015,0771
b0016,0772
b0017,0773
b0018,0774
b0019,0775
b0020,0776
b0021,0777
b0022,0778
b0023,0779
b0024,0780
b0025,0781
b0026,0782
b0027,0783
b0028,0784
b0029,0785
b0030,0786
b0031,0787
b0032,0788
b0033,0789
b0034,0790
b0035,0791
b0036,0792
b0037,0793
b0038,0794
b0039,0795
b0040,0796
b0041,0797
b0042,0798
b0043,0799
b0044,0800
b0045,0801
b0046,0802
b0047,0803
b0048,0804
b0049,0805
b0050,0806
b0051,0807
b0052,0808
b0053,0809
b0054,0810
b0055,0811
b0056,0812
b0057,0813
b0058,0814
b0059,0815
b0060,0816
b0061,0817
b0062,0818
b0063,0819
b0064,0820
b0065,0821
b0066,0822
b0067,0823
b0068,0824
b0069,0825
b0070,0826
c0150,0827
c0151,0828
c0152,0829
c0153,0830
c0154,0831
c0155,0832
c0156,0833
c0157,0834
b0071,0835
b0072,0836
b0073,0837
b0074,0838
b0075,0839
b0076,0840
b0077,0841
b0078,0842
b0079,0843
b0080,0844
b0081,0845
b0082,0846
b0083,0847
b0084,0848
b0085,0849
b0086,0850
b0087,0851
b0088,0852
b0089,0853
b0090,0854
b0091,0855
b0092,0856
b0093,0857
b0094,0858
b0095,0859
b0096,0860
b0097,0861
b0098,0862
b0099,0863
b0100,0864
b0101,0865
b0102,0866
b0103,0867
b0104,0868
b0105,0869
b0106,0870
b0107,0871
b0108,0872
b0109,0873
b0110,0874
b0111,0875
b0112,0876
b0113,0877
b0114,0878
b0115,0879
b0116,0880
b0117,0881
b0118,0882
b0119,0883
b0120,0884
b0121,0885
b0122,0886
b0123,0887
b0124,0888
b0125,0889
b0126,0890
b0127,0891
b0128,0892
b0129,0893
b0130,0894
b0131,0895
b0132,0896
b0133,0897
b0134,0898
b0135,0899
b0136,0900
b0137,0901
b0138,0902
b0139,0903
b0140,0904
b0141,0905
b0142,0906
b0143,0907
b0144,0908
b0145,0909
b0146,0910
b0147,0911
b0148,0912
b0149,0913
b0150,0914
b0151,0915
b0152,0916
b0153,0917
b0154,0918
b0155,0919
b0156,0920
b0157,0921
b0158,0922
b0159,0923
b0160,0924
b0161,0925
b0162,0926
b0163,0927
b0164,0928
b0165,0929
b0166,0930
b0167,0931
b0168,0932
b0169,0933
b0170,0934
b0171,0935
b0172,0936
b0173,0937
b0174,0938
b0175,0939
b0176,0940
b0177,0941
b0178,0942
b0179,0943
b0180,0944
b0181,0945
b0182,0946
b0183,0947
b0184,0948
b0185,0949
b0186,0950
b0187,0951
b0188,0952
b0189,0953
b0190,0954
b0191,0955
b0192,0956
b0193,0957
b0194,0958
b0195,0959
